Fecha,Turno,Area,Actividad,Origen,Destino,Volquete,Placa,Capacidad,PesoViaje,Contrata,EquipoCarguio,# Pases,Capacidad Exc,TipoEquipoCarguio,Material,CicloVolquete,Tarifa,Monto,CCosto,ToneladaSeca,HorasHorometros,VelocidadPromedio
23/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_257COR,TAA-933,24,37.392,COMPAÑÍA COMERCIALIZADORA Y REPRESENTACIONES S.A.,374DL_03MAC,5,5,Excavadora Producción,Mineral,31.38,50,339.95,1403,475.494246,9.58,14.198
23/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_258COR,TAA-943,24,37.392,COMPAÑÍA COMERCIALIZADORA Y REPRESENTACIONES S.A.,750DL_01CED,5,5.16,Excavadora Producción,Mineral,31.38,50,52.3,1403,73.15296,10.74,13.981
23/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_258COR,TAA-943,24,37.392,COMPAÑÍA COMERCIALIZADORA Y REPRESENTACIONES S.A.,374DL_03MAC,5,5,Excavadora Producción,Mineral,31.38,50,339.95,1403,475.494246,10.74,13.981
23/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_408RAP,,24,37.392,CONTRATA DE TRANSPORTES RAPESA S.A.C.,750DL_01CED,5,5.16,Excavadora Producción,Mineral,31.38,50,52.3,1403,73.15296,10.4,13.863
23/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_409RAP,,24,37.392,CONTRATA DE TRANSPORTES RAPESA S.A.C.,750DL_01CED,5,5.16,Excavadora Producción,Mineral,31.38,50,26.15,1403,36.57648,0,13.411
23/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_150SAG,T0A-923,24,37.392,M.J.B. TRANSPORTES SAGITARIO S.A.C.,374DL_03MAC,5,5,Excavadora Producción,Mineral,31.38,50,287.65,1403,402.341285,8.35,13.149
23/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_528CJ,T0D-826,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,374DL_03MAC,5,5,Excavadora Producción,Mineral,31.38,50,339.95,1403,475.494246,9.81,14.654
23/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_529CJ,T0D-841,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,750DL_01CED,5,5.16,Excavadora Producción,Mineral,31.38,50,52.3,1403,73.15296,9,13.667
23/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_530CJ,T0D-843,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,374DL_03MAC,5,5,Excavadora Producción,Mineral,31.38,50,366.1,1403,512.070726,10.14,13.766
23/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_532CJ,T0R-905,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,374DL_03MAC,5,5,Excavadora Producción,Mineral,31.38,50,339.95,1403,475.494246,9.94,14.115
23/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_534CJ,T0T-920,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,374DL_03MAC,5,5,Excavadora Producción,Mineral,31.38,50,339.95,1403,475.494246,9.84,14.653
23/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_535CJ,T0T-889,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,750DL_01CED,5,5.16,Excavadora Producción,Mineral,31.38,50,26.15,1403,36.57648,9.84,12.956
23/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_536CJ,T0T-838,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,750DL_01CED,5,5.16,Excavadora Producción,Mineral,31.38,50,52.3,1403,73.15296,10.19,13.245
23/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_537CJ,T0T-914,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,750DL_01CED,5,5.16,Excavadora Producción,Mineral,31.38,50,52.3,1403,73.15296,10.51,13.445
23/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_538CJ,TAB-852,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,750DL_01CED,5,5.16,Excavadora Producción,Mineral,31.38,50,26.15,1403,36.57648,10.18,14.092
23/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_539CJ,TAA-935,24,37.392,TRANSPORTES CORAZON DE JESUS SAC,750DL_01CED,5,5.16,Excavadora Producción,Mineral,31.38,50,52.3,1403,73.15296,9.95,12.76
23/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_12CED,T8X-889,20,31.16,TRANSPORTES E INVERSIONES CEDAR S.R.L.,374DL_03MAC,4,5,Excavadora Producción,Mineral,31.38,44,69.036,1403,91.441201,10,13.528
23/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_13CED,TOU-907,24,37.392,TRANSPORTES E INVERSIONES CEDAR S.R.L.,750DL_01CED,5,5.16,Excavadora Producción,Mineral,31.38,50,26.15,1403,36.57648,10.28,12.684
23/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_15CED,T0X-841,24,37.392,TRANSPORTES E INVERSIONES CEDAR S.R.L.,750DL_01CED,5,5.16,Excavadora Producción,Mineral,31.38,50,52.3,1403,73.15296,10.22,13.876
23/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_1503MA,TOH-896,24,37.392,TRANSPORTES LA MAMITA,374DL_03MAC,5,5,Excavadora Producción,Mineral,31.38,50,366.1,1403,512.070726,9.98,13.629
23/01/2021,Noche,Mina,Acarreo,Banco 3316 ,Celda C-508 ,V_1504MA,TOH-914,24,37.392,TRANSPORTES LA MAMITA,374DL_03MAC,5,5,Excavadora Producción,Mineral,31.38,50,287.65,1403,402.341285,9.92,13.132
