ToneladaSeca,VelocidadPromedio,CicloVolquete
475.494246,14.198,31.38
73.15296,13.981,31.38
475.494246,13.981,31.38
73.15296,13.863,31.38
36.57648,13.411,31.38
402.341285,13.149,31.38
475.494246,14.654,31.38
73.15296,13.667,31.38
512.070726,13.766,31.38
475.494246,14.115,31.38
475.494246,14.653,31.38
36.57648,12.956,31.38
73.15296,13.245,31.38
73.15296,13.445,31.38
36.57648,14.092,31.38
73.15296,12.76,31.38
91.441201,13.528,31.38
36.57648,12.684,31.38
73.15296,13.876,31.38
512.070726,13.629,31.38
402.341285,13.132,31.38
548.647207,13.34,31.38
512.070726,13.857,31.38
512.070726,13.701,31.38
475.494246,13.64,31.38
585.223687,14.034,31.38
256.035363,14.127,31.38
585.223687,13.954,31.38
36.103845,12.775,30.5
216.623073,13.805,30.5
72.207691,14.012,30.5
72.207691,13.053,30.5
36.103845,13.829,30.5
144.415382,13.829,30.5
216.623073,14.003,30.5
397.142301,15.563,30.5
324.93461,14.987,30.5
324.93461,14.74,30.5
72.207691,14.74,30.5
361.038456,14.015,30.5
288.830764,14.588,30.5
324.93461,14.355,30.5
108.311536,14.355,30.5
397.142301,14.249,30.5
216.623073,13.549,30.5
324.93461,13.768,30.5
288.830764,14.415,30.5
180.519228,14.415,30.5
361.038456,14.494,30.5
324.93461,13.817,30.5
72.207691,13.817,30.5
324.93461,14.729,30.5
252.726919,13.116,30.5
180.519228,13.707,30.5
144.415382,14.302,30.5
288.830764,13.563,30.5
216.623073,13.288,30.5
144.415382,13.9,30.5
180.519228,13.929,30.5
108.311536,13.607,30.5
180.519228,13.891,30.5
361.038456,13.9,30.5
180.519228,13.9,30.5
288.830764,13.742,30.5
180.519228,13.803,30.5
361.038456,13.845,30.5
108.311536,13.845,30.5
108.311536,13.446,30.5
288.830764,13.709,31.38
397.142301,14.609,31.38
361.038456,14.456,31.38
108.311536,14.118,31.38
144.415382,14.77,31.38
144.415382,14.963,31.38
108.311536,15.323,31.38
144.415382,14.722,31.38
144.415382,15.294,31.38
144.415382,15.001,31.38
144.415382,16.03,31.38
144.415382,15.502,31.38
108.311536,15.115,31.38
144.415382,14.681,31.38
108.311536,15.473,31.38
324.93461,14.728,31.38
361.038456,14.637,31.38
144.415382,15.157,31.38
361.038456,13.74,31.38
288.830764,14.231,31.38
288.830764,14.972,31.38
361.038456,14.848,31.38
288.830764,14.28,31.38
397.142301,14.492,31.38
397.142301,14.18,31.38
361.038456,15.245,31.38
397.142301,14.085,31.38
108.311536,13.361,31.38
288.830764,12.699,31.38
361.038456,14.235,31.38
108.311536,13.005,31.38
144.415382,12.788,31.38
252.726919,13.435,31.38
108.311536,13.357,31.38
108.311536,14.015,31.38
396.142813,14.342,30
108.038949,13.653,30
216.077898,13.754,30
504.181762,13.563,30
432.155796,13.9,30
324.116847,14.651,30
540.194745,14.471,30
108.038949,14.062,30
324.116847,13.782,30
360.12983,13.628,30
396.142813,14.145,30
288.103864,14.614,30
288.103864,15.298,30
360.12983,15.602,30
72.025966,15.231,30
144.051932,14.813,30
216.077898,14.268,30
324.116847,15.319,30
252.090881,14.363,30
360.12983,14.742,30
360.12983,14.138,30
648.233694,15.783,30
612.220711,15.019,30
72.025966,14.978,30
108.038949,14.978,30
540.194745,13.772,30
648.233694,14.597,30
612.220711,14.594,30
648.233694,14.38,30
576.207728,14.388,30
648.233694,14.198,30
648.233694,14.626,30
648.233694,14.237,30
