ycor,velocidad,timecreac,tramosid,tonelaje,tonhora
839632034,296,43469,-1,2433,7320
839632035,240,43469.00002,-1,2433,7320
839632015,314,43469.00005,-1,2433,7320
839632006,203,43469.00007,-1,2433,7320
839631986,92,43469.00009,-1,2433,7320
839631986,129,43469.00012,-1,2433,7320
839631966,55,43469.00014,-1,2433,7320
839631966,55,43469.00016,-1,2433,7320
839631934,0,43469.00019,-1,2433,7320
839631934,18,43469.00021,-1,2433,7320
839631934,0,43469.00023,-1,2433,7320
839631903,0,43469.00025,-1,2433,7320
839631872,0,43469.00028,-1,2433,7320
839631851,0,43469.0003,-1,2433,7320
839631851,0,43469.00032,-1,2433,7320
839631873,0,43469.00035,-1,2433,7320
839631873,18,43469.00037,-1,2433,7320
839631853,18,43469.00039,-1,2433,7320
839631853,18,43469.00042,-1,2433,7320
839631853,18,43469.00044,-1,2433,7320
839631853,18,43469.00046,-1,2433,7320
839631875,314,43469.00049,-1,2433,7320
839631936,314,43469.00051,-1,2433,7320
839631967,351,43469.00053,-1,2433,7320
839631967,351,43469.00056,-1,2433,7320
839632059,444,43469.00058,-1,2433,7320
839632120,314,43469.0006,-1,2433,7320
839632149,407,43469.00062,-1,2433,7320
839632198,425,43469.00065,-1,2433,7320
839632227,518,43469.00067,-1,2433,7320
839632358,777,43469.00069,-1,2433,7320
839632437,1000,43469.00072,4830,0,7320
839632588,1240,43469.00074,4830,0,7320
839632588,1240,43469.00076,4830,0,7320
839632801,1666,43469.00079,4830,0,7320
839633041,2074,43469.00081,4830,0,7320
839633673,2055,43469.00083,4830,0,7320
839633803,2092,43469.00086,4830,0,7320
839633803,2092,43469.00088,4830,0,7320
839634095,2240,43469.0009,4830,0,7320
839634549,2203,43469.00093,4830,0,7320
839634798,2166,43469.00095,4830,0,7320
839634964,2092,43469.00097,4830,0,7320
839634964,2092,43469.001,4830,0,7320
839634950,1833,43469.00102,4830,0,7320
839634981,1463,43469.00104,4830,0,7320
839635029,111,43469.00106,4830,0,7320
839635007,18,43469.00109,4830,0,7320
839634985,18,43469.00111,4830,0,7320
839634986,18,43469.00113,4830,0,7320
839634986,0,43469.00116,4830,0,7320
839635007,0,43469.00118,4830,0,7320
839635028,0,43469.0012,4830,0,7320
839635038,0,43469.00123,4830,0,7320
839635038,0,43469.00125,4830,0,7320
839635037,0,43469.00127,4830,0,7320
839635037,0,43469.0013,4830,0,7320
839635037,0,43469.00132,4830,0,7320
839635037,0,43469.00134,4830,0,7320
839635037,0,43469.00137,4830,0,7320
839635036,0,43469.00139,4830,0,7320
839635057,18,43469.00141,4830,0,7320
839635057,18,43469.00144,4830,0,7320
839635078,18,43469.00146,4830,0,7320
839635078,18,43469.00148,4830,0,7320
839635089,18,43469.0015,4830,0,7320
839635088,18,43469.00153,4830,0,7320
839635120,18,43469.00155,4830,0,7320
839635120,18,43469.00157,4830,0,7320
839635140,0,43469.0016,4830,0,7320
839635140,18,43469.00162,4830,0,7320
839635140,18,43469.00164,4830,0,7320
839635140,0,43469.00167,4830,0,7320
839635140,37,43469.00169,4830,0,7320
839635140,37,43469.00171,4830,0,7320
839635139,18,43469.00174,4830,0,7320
839635139,55,43469.00176,4830,0,7320
839635139,74,43469.00178,4830,0,7320
839635139,18,43469.00181,4830,0,7320
839635139,0,43469.00183,4830,0,7320
839635139,0,43469.00185,4830,0,7320
839635118,407,43469.00187,4830,0,7320
839635199,629,43469.0019,4830,0,7320
839635289,833,43469.00192,4830,0,7320
839635432,1000,43469.00194,4830,0,7320
839635432,1000,43469.00197,4830,0,7320
839635594,1333,43469.00199,4830,0,7320
839635832,1870,43469.00201,4830,0,7320
839635987,2055,43469.00204,4830,0,7320
839635987,2055,43469.00206,4830,0,7320
839636475,2315,43469.00208,4830,0,7320
839636910,2203,43469.00211,4830,0,7320
839636910,2203,43469.00213,4830,0,7320
839637331,2240,43469.00215,4830,0,7320
839637877,2129,43469.00218,4830,0,7320
839638230,1963,43469.0022,4830,0,7320
839639528,1814,43469.00222,4830,0,7320
839640464,1759,43469.00225,4830,0,7320
839641404,1407,43469.00227,4830,0,7320
839641404,1407,43469.00229,4830,0,7320
839642199,1500,43469.00231,4830,0,7320
839643151,1666,43469.00234,4830,0,7320
839643500,1611,43469.00236,4830,0,7320
839643695,1740,43469.00238,4830,0,7320
839643913,1666,43469.00241,4830,0,7320
839643895,2092,43469.00243,4830,0,7320
839643849,2481,43469.00245,4830,0,7320
839643820,2240,43469.00248,4830,0,7320
839643783,2277,43469.0025,4830,0,7320
839643748,2277,43469.00252,4830,0,7320
839643722,2296,43469.00255,4830,0,7320
839643713,2315,43469.00257,4830,0,7320
839643708,2463,43469.00259,4830,0,7320
839643674,2778,43469.00262,4830,0,7320
839643608,3000,43469.00264,4830,0,7320
839643608,3000,43469.00266,4830,0,7320
839643482,3129,43469.00269,4830,0,7320
null,null,43469.00271,null,null,7320
839643293,3092,43469.00273,4830,0,7320
839643293,3092,43469.00275,4830,0,7320
839643069,3055,43469.00278,4830,0,7320
839643027,3074,43469.0028,4830,0,7320
839642986,3148,43469.00282,4830,0,7320
839642891,3111,43469.00285,4830,0,7320
839642860,3092,43469.00287,3978,0,7320
839642829,3148,43469.00289,3978,0,7320
839642777,3148,43469.00292,3978,0,7320
839642555,3148,43469.00294,3978,0,7320
839642334,3092,43469.00296,3978,0,7320
839642259,3055,43469.00299,3978,0,7320
839642259,3055,43469.00301,3978,0,7320
839642238,3129,43469.00303,3978,0,7320
839642260,3129,43469.00306,3978,0,7320
839642524,3018,43469.00308,3978,0,7320
839643070,2611,43469.0031,3978,0,7320
839644441,2722,43469.00312,3978,0,7320
839645626,2889,43469.00315,3978,0,7320
839646927,2870,43469.00317,3978,0,7320
839647545,2778,43469.00319,3978,0,7320
839649348,2926,43469.00322,3978,0,7320
839650648,2889,43469.00324,3978,0,7320
839651968,2870,43469.00326,3978,0,7320
839654168,2944,43469.00329,3978,0,7320
839654168,2944,43469.00331,3978,0,7320
839655664,2889,43469.00333,1048,0,7320
839656426,2870,43469.00336,1048,0,7320
839658681,2870,43469.00338,1048,0,7320
839660233,2815,43469.0034,1048,0,7320
839661738,2870,43469.00343,1048,0,7320
839663587,3092,43469.00345,1048,0,7320
839664128,3203,43469.00347,1048,0,7320
839665283,3092,43469.0035,1048,0,7320
839666429,3037,43469.00352,1048,0,7320
839668456,3074,43469.00354,1048,0,7320
839669892,2944,43469.00356,1048,0,7320
839671288,2796,43469.00359,1048,0,7320
839673582,2963,43469.00361,1048,0,7320
839674383,2907,43469.00363,1047,0,7320
839676007,2815,43469.00366,1047,0,7320
839678326,2870,43469.00368,1047,0,7320
839680046,3092,43469.0037,1047,0,7320
839681926,3611,43469.00373,1047,0,7320
839682982,3759,43469.00375,1047,0,7320
839682982,3759,43469.00377,1047,0,7320
839686304,4129,43469.0038,1047,0,7320
839688374,4037,43469.00382,1047,0,7320
839690996,3759,43469.00384,1047,0,7320
839692283,3518,43469.00387,1047,0,7320
839693329,3203,43469.00389,4033,0,7320
839693382,2722,43469.00391,4033,0,7320
839693357,2426,43469.00394,4033,0,7320
839693357,2426,43469.00396,4033,0,7320
839693254,2092,43469.00398,4033,0,7320
839693044,1740,43469.004,4033,0,7320
839693029,1648,43469.00403,4033,0,7320
839693146,1481,43469.00405,4033,0,7320
839693146,1481,43469.00407,4033,0,7320
839693260,1222,43469.0041,4033,0,7320
839693428,1351,43469.00412,4033,0,7320
839693843,1222,43469.00414,4033,0,7320
839694116,963,43469.00417,4032,0,7320
839694323,777,43469.00419,4032,0,7320
839694326,0,43469.00421,4032,0,7320
839694326,0,43469.00424,4032,0,7320
839694293,314,43469.00426,4032,0,7320
839694799,963,43469.00428,4032,0,7320
839694799,963,43469.00431,4032,0,7320
839695197,1148,43469.00433,4032,0,7320
839695956,1426,43469.00435,4032,0,7320
null,null,43469.00437,null,null,7320
839696765,1944,43469.0044,4032,0,7320
839697860,2296,43469.00442,4032,0,7320
null,null,43469.00444,null,null,7320
null,null,43469.00447,null,null,7320
null,null,43469.00449,null,null,7320
null,null,43469.00451,null,null,7320
null,null,43469.00454,null,null,7320
null,null,43469.00456,null,null,7320
null,null,43469.00458,null,null,7320
null,null,43469.00461,null,null,7320
null,null,43469.00463,null,null,7320
null,null,43469.00465,null,null,7320
null,null,43469.00468,null,null,7320
null,null,43469.0047,null,null,7320
null,null,43469.00472,null,null,7320
839721242,3759,43469.00475,4030,0,7320
839722197,3778,43469.00477,4030,0,7320
839724156,3815,43469.00479,4030,0,7320
839727300,3815,43469.00481,4030,0,7320
839729345,3833,43469.00484,4030,0,7320
839731350,3963,43469.00486,4030,0,7320
839734035,3944,43469.00488,4030,0,7320
839734774,3852,43469.00491,4030,0,7320
839735947,3815,43469.00493,12,0,7320
839736922,3870,43469.00495,12,0,7320
839738409,3722,43469.00498,12,0,7320
839738409,3722,43469.005,12,0,7320
839738941,3518,43469.00502,12,0,7320
839739407,3537,43469.00505,12,0,7320
839739949,3611,43469.00507,12,0,7320
839740291,3592,43469.00509,12,0,7320
839740601,3574,43469.00512,12,0,7320
839740815,3481,43469.00514,12,0,7320
839740815,3481,43469.00516,2967,0,7320
839741169,3537,43469.00519,2967,0,7320
839741385,3704,43469.00521,2967,0,7320
839741716,3741,43469.00523,2967,0,7320
839741716,3741,43469.00525,2967,0,7320
839741975,3852,43469.00528,2967,0,7320
839742223,3833,43469.0053,2967,0,7320
839742526,3778,43469.00532,2967,0,7320
839742904,3629,43469.00535,2967,0,7320
839742904,3629,43469.00537,2967,0,7320
839742990,3611,43469.00539,2967,0,7320
839743082,3889,43469.00542,2967,0,7320
839742939,3852,43469.00544,2968,0,7320
839742840,3981,43469.00546,2968,0,7320
839742930,4092,43469.00549,2968,0,7320
839743130,4315,43469.00551,2968,0,7320
839743160,4426,43469.00553,2968,0,7320
839743086,4685,43469.00556,2968,0,7320
839743049,4815,43469.00558,2968,0,7320
839742877,5185,43469.0056,2968,0,7320
839742877,5185,43469.00562,2968,0,7320
839742722,5055,43469.00565,3022,0,7320
839742608,5111,43469.00567,3022,0,7320
839742484,5074,43469.00569,3022,0,7320
839742251,5241,43469.00572,3022,0,7320
839742042,5093,43469.00574,3022,0,7320
839741823,5037,43469.00576,3022,0,7320
839741613,4889,43469.00579,3022,0,7320
839741356,5000,43469.00581,3022,0,7320
839741267,4870,43469.00583,3022,0,7320
839741098,4611,43469.00586,3022,0,7320
839740949,4574,43469.00588,3022,0,7320
839740811,4667,43469.0059,3022,0,7320
839740585,4778,43469.00593,3022,0,7320
839740585,4778,43469.00595,3022,0,7320
839740585,4704,43469.00597,3022,0,7320
839740871,4518,43469.006,21,0,7320
839741501,4333,43469.00602,21,0,7320
