xcor,ycor,velocidad,timecreac,tramosid,tonelaje,
19857198,839632034,2.96,43469,-1,243.3,
19857280,839632035,2.4,43469.00002,-1,243.3,
19857445,839632015,3.14,43469.00005,-1,243.3,
19857528,839632006,2.03,43469.00007,-1,243.3,
19857610,839631986,0.92,43469.00009,-1,243.3,
19857610,839631986,1.29,43469.00012,-1,243.3,
19857693,839631966,0.55,43469.00014,-1,243.3,
19857693,839631966,0.55,43469.00016,-1,243.3,
19857693,839631934,0,43469.00019,-1,243.3,
19857693,839631934,0.18,43469.00021,-1,243.3,
19857693,839631934,0,43469.00023,-1,243.3,
19857776,839631903,0,43469.00025,-1,243.3,
19857776,839631872,0,43469.00028,-1,243.3,
19857777,839631851,0,43469.0003,-1,243.3,
19857777,839631851,0,43469.00032,-1,243.3,
19857859,839631873,0,43469.00035,-1,243.3,
19857859,839631873,0.18,43469.00037,-1,243.3,
19857941,839631853,0.18,43469.00039,-1,243.3,
19857941,839631853,0.18,43469.00042,-1,243.3,
19857941,839631853,0.18,43469.00044,-1,243.3,
19857941,839631853,0.18,43469.00046,-1,243.3,
19858023,839631875,3.14,43469.00049,-1,243.3,
19857858,839631936,3.14,43469.00051,-1,243.3,
19857775,839631967,3.51,43469.00053,-1,243.3,
19857775,839631967,3.51,43469.00056,-1,243.3,
19857527,839632059,4.44,43469.00058,-1,243.3,
19857362,839632120,3.14,43469.0006,-1,243.3,
19857114,839632149,4.07,43469.00062,-1,243.3,
19856867,839632198,4.25,43469.00065,-1,243.3,
19856620,839632227,5.18,43469.00067,-1,243.3,
19856124,839632358,7.77,43469.00069,-1,243.3,
19855629,839632437,10,43469.00072,4830,0,
19855051,839632588,12.4,43469.00074,4830,0,
19855051,839632588,12.4,43469.00076,4830,0,
19854308,839632801,16.66,43469.00079,4830,0,
19853235,839633041,20.74,43469.00081,4830,0,
19850511,839633673,20.55,43469.00083,4830,0,
19849933,839633803,20.92,43469.00086,4830,0,
19849933,839633803,20.92,43469.00088,4830,0,
19848777,839634095,22.4,43469.0009,4830,0,
19847043,839634549,22.03,43469.00093,4830,0,
19845805,839634798,21.66,43469.00095,4830,0,
19844651,839634964,20.92,43469.00097,4830,0,
19844651,839634964,20.92,43469.001,4830,0,
19843499,839634950,18.33,43469.00102,4830,0,
19842593,839634981,14.63,43469.00104,4830,0,
19842181,839635029,1.11,43469.00106,4830,0,
19842181,839635007,0.18,43469.00109,4830,0,
19842099,839634985,0.18,43469.00111,4830,0,
19842181,839634986,0.18,43469.00113,4830,0,
19842181,839634986,0,43469.00116,4830,0,
19842181,839635007,0,43469.00118,4830,0,
19842098,839635028,0,43469.0012,4830,0,
19842098,839635038,0,43469.00123,4830,0,
19842098,839635038,0,43469.00125,4830,0,
19842016,839635037,0,43469.00127,4830,0,
19842016,839635037,0,43469.0013,4830,0,
19842016,839635037,0,43469.00132,4830,0,
19842016,839635037,0,43469.00134,4830,0,
19842016,839635037,0,43469.00137,4830,0,
19841934,839635036,0,43469.00139,4830,0,
19841933,839635057,0.18,43469.00141,4830,0,
19841933,839635057,0.18,43469.00144,4830,0,
19841933,839635078,0.18,43469.00146,4830,0,
19841933,839635078,0.18,43469.00148,4830,0,
19841933,839635089,0.18,43469.0015,4830,0,
19841851,839635088,0.18,43469.00153,4830,0,
19841850,839635120,0.18,43469.00155,4830,0,
19841850,839635120,0.18,43469.00157,4830,0,
19841768,839635140,0,43469.0016,4830,0,
19841768,839635140,0.18,43469.00162,4830,0,
19841768,839635140,0.18,43469.00164,4830,0,
19841768,839635140,0,43469.00167,4830,0,
19841768,839635140,0.37,43469.00169,4830,0,
19841768,839635140,0.37,43469.00171,4830,0,
19841686,839635139,0.18,43469.00174,4830,0,
19841686,839635139,0.55,43469.00176,4830,0,
19841686,839635139,0.74,43469.00178,4830,0,
19841686,839635139,0.18,43469.00181,4830,0,
19841686,839635139,0,43469.00183,4830,0,
19841686,839635139,0,43469.00185,4830,0,
19841686,839635118,4.07,43469.00187,4830,0,
19841438,839635199,6.29,43469.0019,4830,0,
19841025,839635289,8.33,43469.00192,4830,0,
19840612,839635432,10,43469.00194,4830,0,
19840612,839635432,10,43469.00197,4830,0,
19840034,839635594,13.33,43469.00199,4830,0,
19838796,839635832,18.7,43469.00201,4830,0,
19837642,839635987,20.55,43469.00204,4830,0,
19837642,839635987,20.55,43469.00206,4830,0,
19835249,839636475,23.15,43469.00208,4830,0,
19832856,839636910,22.03,43469.00211,4830,0,
19832856,839636910,22.03,43469.00213,4830,0,
19830958,839637331,22.4,43469.00215,4830,0,
19829881,839637877,21.29,43469.00218,4830,0,
19829383,839638230,19.63,43469.0022,4830,0,
19828462,839639528,18.14,43469.00222,4830,0,
19828121,839640464,17.59,43469.00225,4830,0,
19828110,839641404,14.07,43469.00227,4830,0,
19828110,839641404,14.07,43469.00229,4830,0,
19828347,839642199,15,43469.00231,4830,0,
19829323,839643151,16.66,43469.00234,4830,0,
19830224,839643500,16.11,43469.00236,4830,0,
19830633,839643695,17.4,43469.00238,4830,0,
19832112,839643913,16.66,43469.00241,4830,0,
19833183,839643895,20.92,43469.00243,4830,0,
19834583,839643849,24.81,43469.00245,4830,0,
19836558,839643820,22.4,43469.00248,4830,0,
19837876,839643783,22.77,43469.0025,4830,0,
19838452,839643748,22.77,43469.00252,4830,0,
19839770,839643722,22.96,43469.00255,4830,0,
19841663,839643713,23.15,43469.00257,4830,0,
